,code,prefecture_en,lat,long
0,1,Hokkaido,43.06417,141.34694
1,2,Aomori,40.82444,140.74
2,3,Iwate,39.70361,141.1525
3,4,Miyagi,38.26889,140.87194
4,5,Akita,39.71861,140.1025
5,6,Yamagata,38.24056,140.36333
6,7,Fukushima,37.75,140.46778
7,8,Ibaraki,36.34139,140.44666999999998
8,9,Tochigi,36.56583,139.88361
9,10,Gunma,36.39111,139.06083
10,11,Saitama,35.85694,139.64889
11,12,Chiba,35.60472,140.12333
12,13,Tokyo,35.689440000000005,139.69167
13,14,Kanagawa,35.44778,139.6425
14,15,Niigata,37.90222,139.02361000000002
15,16,Toyama,36.69528,137.21139
16,17,Ishikawa,36.594440000000006,136.62556
17,18,Fukui,36.06528,136.22194
18,19,Yamanashi,35.66389,138.56833
19,20,Nagano,36.65139,138.18111000000002
20,21,Gifu,35.39111,136.72222
21,22,Shizuoka,34.97694,138.38306
22,23,Aichi,35.18028,136.90667
23,24,Mie,34.73028,136.50861
24,25,Shiga,35.00444,135.86833
25,26,Kyoto,35.021390000000004,135.75556
26,27,Osaka,34.68639,135.52
27,28,Hyogo,34.691390000000006,135.18306
28,29,Nara,34.68528,135.83278
29,30,Wakayama,34.22611,135.1675
30,31,Tottori,35.503609999999995,134.23833
31,32,Shimane,35.47222,133.05056000000002
32,33,Okayama,34.66167,133.935
33,34,Hiroshima,34.396390000000004,132.45944
34,35,Yamaguchi,34.18583,131.47139
35,36,Tokushima,34.06583,134.55944
36,37,Kagawa,34.34028,134.04333
37,38,Ehime,33.84167,132.76611
38,39,Kochi,33.55972,133.53111
39,40,Fukuoka,33.606390000000005,130.41806
40,41,Saga,33.24944,130.29889
41,42,Nagasaki,32.74472,129.87361
42,43,Kumamoto,32.78972,130.74167
43,44,Oita,33.23806,131.6125
44,45,Miyazaki,31.91111,131.42389
45,46,Kagoshima,31.56028,130.55806
46,47,Okinawa,26.2125,127.68111
